g1,afro,blues,classical,country / americana,electronic / dance,folk / cantautore,hip hop / rap,indie / alternative,jazz,k-pop / j-pop,latin / urbano,metal,other,pop,r&b / soul,reggae / dancehall,rock,soundtrack / ost,unknown
afro,26,0,0,0,4,0,20,0,1,0,5,0,11,4,10,8,0,0,34
blues,0,1,0,2,3,0,0,0,2,0,0,1,0,0,1,0,6,0,6
classical,0,0,97,3,0,2,0,1,3,1,3,5,62,5,1,1,2,47,40
country / americana,0,2,3,124,2,5,3,1,3,0,4,1,43,3,0,1,24,1,100
electronic / dance,4,3,0,2,414,3,84,7,3,7,40,15,207,93,13,17,19,0,869
folk / cantautore,0,0,2,5,3,1,8,1,0,0,9,0,8,5,0,0,5,0,25
hip hop / rap,20,0,0,3,84,8,1360,55,4,25,238,20,369,147,132,11,24,3,1110
indie / alternative,0,0,1,1,7,1,55,39,0,2,8,1,40,30,1,1,5,0,87
jazz,1,2,3,3,3,0,4,0,13,0,1,1,35,4,4,0,2,2,29
k-pop / j-pop,0,0,1,0,7,0,25,2,0,50,0,0,31,6,3,0,2,1,96
latin / urbano,5,0,3,4,40,9,238,8,1,0,843,0,235,55,6,20,27,3,266
metal,0,1,5,1,15,0,20,1,1,0,0,23,21,3,0,0,17,1,71
other,11,0,62,43,207,8,369,40,35,31,235,21,1265,343,44,33,103,16,764
pop,4,0,5,3,93,5,147,30,4,6,55,3,343,311,19,8,25,2,365
r&b / soul,10,1,1,0,13,0,132,1,4,3,6,0,44,19,45,1,3,0,198
reggae / dancehall,8,0,1,1,17,0,11,1,0,0,20,0,33,8,1,24,14,0,25
rock,0,6,2,24,19,5,24,5,2,2,27,17,103,25,3,14,75,2,172
soundtrack / ost,0,0,47,1,0,0,3,0,2,1,3,1,16,2,0,0,2,14,40
unknown,34,6,40,100,869,25,1110,87,29,96,266,71,764,365,198,25,172,40,2417
